pfas,name,measure,mean,sd,sig,pvalue
60,Perfluorooctanesulfonamide,pericardial edema ,0,0,No,0.9281
61,3H-Perfluoro-4-hydroxy-3-penten-2-one,pericardial edema ,0,0,No,0.9281
62,1-Pentafluoroethylethanol,pericardial edema ,1.111111111,1.924500897,No,0.1921
63,Perfluoroglutaryl difluoride,pericardial edema ,0,0,No,0.9281
64,8:2 Fluorotelomer alcohol,pericardial edema ,0,0,No,0.9281
65,Ethyl perfluorobutyl ether,pericardial edema ,0,0,No,0.9281
66,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",pericardial edema ,0,0,No,0.9281
67,Dodecafluoroheptanol,pericardial edema ,1.111111111,1.924500897,No,0.9281
68,"1H,1H-Perfluoropentylamine",pericardial edema ,0,0,No,0.9281
69,6H-Perfluorohex-1-ene,pericardial edema ,0,0,No,0.9281
70,6:2 Fluorotelomer alcohol,pericardial edema ,0,0,No,0.9281
71,2-Amino-2H-perfluoropropane,pericardial edema ,0,0,No,0.9281
72,5H-Perfluoropentanal,pericardial edema ,0,0,No,0.9281
73,Perfluorobutanesulfonic acid,pericardial edema ,0,0,No,0.9281
74,Perfluorooctanoic acid,pericardial edema ,0,0,No,0.9281
1,tris(Trifluoroethoxy)methane,tail dysplasia ,2.222222222,3.849001795,Yes,0.0009
2,6:2 Fluorotelomer methacrylate,tail dysplasia ,4.444444444,7.698003589,Yes,<0.0001
3,Sevoflurane,tail dysplasia ,0,0,No,0.9281
4,4H-Perfluorobutanoic acid,tail dysplasia ,0,0,No,0.9281
5,Perfluorooctanesulfonamido ammonium iodide,tail dysplasia ,0,0,No,0.9281
6,Potassium perfluorooctanesulfonate,tail dysplasia ,1.111111111,1.924500897,No,0.1921
7,"Perfluoro-3,6-dioxaoctane-1,8-dioic acid",tail dysplasia ,0,0,No,0.9281
8,Perfluorobutanesulfonyl fluoride,tail dysplasia ,3.333333333,3.333333333,Yes,<0.0001
9,N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide,tail dysplasia ,0,0,No,0.9281
10,2-(Trifluoromethoxy)ethyl trifluoromethanesulfonate,tail dysplasia ,0,0,No,0.9281
11,Heptafluorobutanol,tail dysplasia ,0,0,No,0.9281
12,Perfluorobutanoic acid,tail dysplasia ,0,0,No,0.9281
13,"2,2-Difluoroethyl triflate",tail dysplasia ,1.111111111,1.924500897,No,0.1921
14,"2H,2H,3H,3H-Perfluorooctanoic acid",tail dysplasia ,1.111111111,1.924500897,No,0.1921
15,4:2 Fluorotelomer sulfonic acid,tail dysplasia ,0,0,No,0.9281
16,N-Methylperfluorooctanesulfonamide,tail dysplasia ,0,0,No,0.9281
17,Perfluorononanoic acid,tail dysplasia ,0,0,No,0.9281
18,Allyl perfluoroisopropyl ether,tail dysplasia ,0,0,No,0.9281
19,Nonafluoropentanamide,tail dysplasia ,0,0,No,0.9281
20,Perfluorohexanoic acid,tail dysplasia ,0,0,No,0.9281
21,Ammonium perfluorooctanoate,tail dysplasia ,2.222222222,1.924500897,Yes,0.0009
22,1-Propenylperfluoropropane,tail dysplasia ,0,0,No,0.9281
23,"3,3-Bis(trifluoromethyl)-2-propenoic acid",tail dysplasia ,3.333333333,3.333333333,Yes,<0.0001
24,N-Ethylperfluorooctanesulfonamide,tail dysplasia ,1.111111111,1.924500897,No,0.1921
25,2-Vinylperfluorobutane,tail dysplasia ,0,0,No,0.9281
26,Potassium perfluorohexanesulfonate,tail dysplasia ,0,0,No,0.9281
27,Flurothyl,tail dysplasia ,0,0,No,0.9281
28,Perfluoro(4-methoxybutanoic) acid,tail dysplasia ,0,0,No,0.9281
