pfas_id,preferred_name,casrn,img_html
60,Perfluorooctanesulfonamide,754-91-6,"<img src=""molecules/60.png"" height =""100""></img>"
61,3H-Perfluoro-4-hydroxy-3-penten-2-one,1694-30-0,"<img src=""molecules/61.png"" height =""100""></img>"
62,1-Pentafluoroethylethanol,374-40-3,"<img src=""molecules/62.png"" height =""100""></img>"
63,Perfluoroglutaryl difluoride,678-78-4,"<img src=""molecules/63.png"" height =""100""></img>"
64,8:2 Fluorotelomer alcohol,678-39-7,"<img src=""molecules/64.png"" height =""100""></img>"
65,Ethyl perfluorobutyl ether,163702-05-4,"<img src=""molecules/65.png"" height =""100""></img>"
66,"3H-Perfluoro-2,2,4,4-tetrahydroxypentane",77953-71-0,"<img src=""molecules/66.png"" height =""100""></img>"
67,Dodecafluoroheptanol,335-99-9,"<img src=""molecules/67.png"" height =""100""></img>"
68,"1H,1H-Perfluoropentylamine",355-27-1,"<img src=""molecules/68.png"" height =""100""></img>"
69,6H-Perfluorohex-1-ene,1767-94-8,"<img src=""molecules/69.png"" height =""100""></img>"
70,6:2 Fluorotelomer alcohol,647-42-7,"<img src=""molecules/70.png"" height =""100""></img>"
71,2-Amino-2H-perfluoropropane,1619-92-7,"<img src=""molecules/71.png"" height =""100""></img>"
72,5H-Perfluoropentanal,2648-47-7,"<img src=""molecules/72.png"" height =""100""></img>"
73,Perfluorobutanesulfonic acid,375-73-5,"<img src=""molecules/73.png"" height =""100""></img>"
74,Perfluorooctanoic acid,335-67-1,"<img src=""molecules/74.png"" height =""100""></img>"
